dem,dist_to_water,flow_acc,geom,lulc,ndwi,rain,runoff_coeff,slope,soilTx,soil_moisture,level
5.0,5.0,5.0,21.0,10.0,1.0,1.0,1.0,2.0,4.0,2.0,1
3.0,5.0,3.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,2.0,1
4.0,5.0,4.0,31.0,40.0,3.0,1.0,4.0,2.0,4.0,4.0,1
5.0,5.0,5.0,11.0,10.0,1.0,1.0,3.0,5.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,3.0,1
4.0,4.0,4.0,21.0,30.0,2.0,1.0,3.0,2.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,2.0,2.0,4.0,4.0,1
3.0,4.0,3.0,34.0,10.0,3.0,2.0,2.0,1.0,4.0,4.0,1
4.0,5.0,4.0,31.0,10.0,2.0,1.0,3.0,3.0,4.0,4.0,1
3.0,4.0,3.0,31.0,10.0,2.0,2.0,1.0,1.0,4.0,3.0,1
3.0,4.0,3.0,31.0,10.0,2.0,2.0,2.0,1.0,4.0,3.0,1
4.0,4.0,4.0,21.0,30.0,3.0,2.0,3.0,1.0,6.0,4.0,1
5.0,5.0,5.0,21.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,31.0,40.0,2.0,1.0,4.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
4.0,4.0,4.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
3.0,4.0,3.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,3.0,1
4.0,5.0,4.0,31.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,5.0,5.0,31.0,10.0,2.0,2.0,1.0,2.0,4.0,4.0,1
4.0,5.0,4.0,24.0,10.0,3.0,1.0,2.0,2.0,4.0,2.0,1
4.0,4.0,4.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,31.0,30.0,2.0,1.0,3.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
4.0,4.0,4.0,21.0,30.0,3.0,2.0,3.0,1.0,4.0,4.0,1
4.0,5.0,4.0,24.0,40.0,4.0,2.0,4.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
4.0,4.0,4.0,31.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,2.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
5.0,5.0,5.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
4.0,5.0,4.0,31.0,10.0,1.0,1.0,2.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,1.0,4.0,4.0,1
3.0,4.0,3.0,24.0,10.0,3.0,3.0,1.0,1.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,40.0,2.0,1.0,2.0,2.0,4.0,4.0,1
4.0,5.0,4.0,34.0,10.0,3.0,1.0,3.0,1.0,7.0,4.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
4.0,4.0,4.0,31.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
3.0,3.0,3.0,24.0,40.0,4.0,2.0,4.0,1.0,4.0,5.0,1
4.0,4.0,4.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,2.0,1.0,2.0,4.0,4.0,4.0,1
3.0,4.0,3.0,24.0,10.0,3.0,2.0,3.0,1.0,4.0,4.0,1
5.0,5.0,5.0,11.0,10.0,1.0,2.0,2.0,4.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
3.0,3.0,3.0,24.0,40.0,4.0,2.0,4.0,1.0,4.0,5.0,1
5.0,5.0,5.0,21.0,10.0,1.0,2.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
4.0,4.0,4.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
3.0,4.0,3.0,24.0,10.0,3.0,3.0,2.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,40.0,2.0,1.0,4.0,2.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,1.0,1.0,2.0,4.0,4.0,4.0,1
3.0,4.0,3.0,24.0,40.0,3.0,2.0,4.0,1.0,6.0,5.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
4.0,4.0,4.0,21.0,10.0,2.0,2.0,1.0,1.0,7.0,4.0,1
4.0,5.0,4.0,34.0,10.0,2.0,1.0,1.0,1.0,4.0,2.0,1
5.0,4.0,5.0,31.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
3.0,4.0,3.0,34.0,10.0,4.0,3.0,2.0,1.0,4.0,5.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,1.0,1.0,2.0,4.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,40.0,2.0,1.0,4.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,40.0,2.0,1.0,4.0,2.0,4.0,4.0,1
3.0,4.0,3.0,31.0,10.0,2.0,2.0,2.0,1.0,4.0,3.0,1
4.0,5.0,4.0,31.0,20.0,2.0,2.0,2.0,2.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,2.0,2.0,1.0,2.0,4.0,4.0,1
3.0,4.0,3.0,24.0,10.0,3.0,3.0,1.0,1.0,4.0,4.0,1
4.0,4.0,4.0,24.0,10.0,3.0,2.0,2.0,1.0,6.0,4.0,1
4.0,5.0,4.0,34.0,10.0,4.0,2.0,2.0,1.0,4.0,4.0,1
3.0,4.0,3.0,24.0,10.0,3.0,2.0,1.0,1.0,4.0,4.0,1
4.0,4.0,4.0,31.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,2.0,2.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,2.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
4.0,4.0,4.0,24.0,40.0,3.0,1.0,4.0,1.0,6.0,4.0,1
4.0,5.0,4.0,31.0,10.0,2.0,1.0,1.0,1.0,6.0,4.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
3.0,4.0,3.0,34.0,10.0,3.0,3.0,2.0,1.0,4.0,5.0,1
4.0,4.0,4.0,21.0,40.0,3.0,2.0,4.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,40.0,2.0,1.0,4.0,2.0,4.0,4.0,1
4.0,5.0,4.0,34.0,40.0,4.0,1.0,4.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,40.0,2.0,1.0,3.0,2.0,4.0,4.0,1
4.0,4.0,4.0,31.0,10.0,1.0,1.0,2.0,3.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
3.0,4.0,3.0,24.0,10.0,3.0,3.0,3.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
4.0,5.0,4.0,41.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,1.0,2.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
3.0,4.0,3.0,24.0,10.0,4.0,3.0,2.0,1.0,4.0,4.0,1
3.0,4.0,3.0,21.0,10.0,2.0,2.0,2.0,2.0,4.0,3.0,1
5.0,4.0,5.0,31.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,1.0,2.0,2.0,3.0,4.0,4.0,1
5.0,5.0,5.0,31.0,10.0,2.0,2.0,1.0,2.0,4.0,4.0,1
3.0,5.0,3.0,31.0,10.0,2.0,1.0,1.0,1.0,4.0,2.0,1
4.0,5.0,4.0,21.0,10.0,2.0,1.0,1.0,1.0,6.0,4.0,1
3.0,4.0,3.0,24.0,40.0,3.0,2.0,4.0,1.0,6.0,5.0,1
5.0,5.0,5.0,21.0,10.0,1.0,2.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,2.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
3.0,4.0,3.0,24.0,10.0,3.0,2.0,3.0,1.0,6.0,4.0,1
3.0,4.0,3.0,34.0,40.0,3.0,2.0,3.0,1.0,4.0,5.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
5.0,5.0,5.0,31.0,10.0,2.0,2.0,1.0,2.0,4.0,4.0,1
4.0,4.0,4.0,31.0,10.0,1.0,2.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
3.0,4.0,3.0,31.0,10.0,2.0,2.0,2.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
4.0,5.0,4.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
4.0,4.0,4.0,24.0,40.0,3.0,1.0,4.0,1.0,6.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
4.0,4.0,4.0,21.0,30.0,2.0,1.0,3.0,2.0,6.0,4.0,1
4.0,4.0,4.0,31.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
3.0,4.0,3.0,24.0,10.0,3.0,3.0,2.0,1.0,4.0,5.0,1
4.0,4.0,4.0,41.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
4.0,4.0,4.0,21.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,1.0,1.0,1.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,2.0,2.0,2.0,4.0,4.0,1
3.0,4.0,3.0,34.0,10.0,4.0,2.0,2.0,1.0,4.0,4.0,1
4.0,4.0,4.0,21.0,30.0,2.0,1.0,3.0,2.0,6.0,4.0,1
4.0,5.0,4.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,2.0,1
4.0,4.0,4.0,21.0,10.0,2.0,1.0,2.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,40.0,2.0,1.0,4.0,2.0,4.0,4.0,1
4.0,5.0,4.0,31.0,10.0,1.0,1.0,1.0,3.0,6.0,4.0,1
4.0,5.0,4.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,2.0,1
5.0,4.0,5.0,21.0,30.0,3.0,1.0,3.0,2.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,40.0,2.0,1.0,4.0,2.0,4.0,4.0,1
4.0,5.0,4.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,2.0,1
5.0,4.0,5.0,31.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
3.0,4.0,3.0,34.0,10.0,3.0,3.0,2.0,1.0,4.0,5.0,1
3.0,4.0,3.0,31.0,10.0,2.0,2.0,2.0,1.0,4.0,3.0,1
5.0,5.0,5.0,21.0,10.0,2.0,1.0,1.0,2.0,4.0,2.0,1
4.0,4.0,4.0,31.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,1.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
4.0,5.0,4.0,31.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
3.0,4.0,3.0,21.0,30.0,4.0,2.0,4.0,1.0,6.0,5.0,1
4.0,4.0,4.0,21.0,40.0,3.0,2.0,4.0,1.0,4.0,4.0,1
4.0,4.0,4.0,21.0,10.0,2.0,1.0,2.0,4.0,4.0,4.0,1
3.0,4.0,3.0,31.0,10.0,2.0,2.0,2.0,1.0,4.0,3.0,1
4.0,4.0,4.0,21.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,11.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,2.0,2.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
4.0,4.0,4.0,21.0,10.0,2.0,2.0,2.0,1.0,7.0,4.0,1
4.0,4.0,4.0,31.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,31.0,40.0,2.0,1.0,2.0,1.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,2.0,3.0,4.0,4.0,1
3.0,4.0,3.0,24.0,30.0,3.0,3.0,3.0,1.0,4.0,5.0,1
4.0,4.0,4.0,21.0,30.0,2.0,1.0,2.0,3.0,4.0,4.0,1
3.0,4.0,3.0,34.0,10.0,2.0,3.0,1.0,1.0,4.0,5.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
4.0,5.0,4.0,31.0,10.0,1.0,1.0,1.0,3.0,6.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
4.0,4.0,4.0,21.0,10.0,1.0,1.0,2.0,4.0,4.0,4.0,1
5.0,4.0,5.0,21.0,30.0,2.0,1.0,3.0,2.0,4.0,4.0,1
4.0,5.0,4.0,21.0,30.0,2.0,1.0,2.0,1.0,4.0,2.0,1
4.0,5.0,4.0,11.0,10.0,2.0,1.0,2.0,3.0,4.0,2.0,1
4.0,4.0,4.0,21.0,40.0,3.0,1.0,4.0,2.0,4.0,4.0,1
3.0,4.0,3.0,21.0,10.0,2.0,2.0,1.0,2.0,4.0,3.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
3.0,4.0,3.0,21.0,10.0,2.0,2.0,1.0,2.0,4.0,3.0,1
2.0,4.0,2.0,31.0,10.0,2.0,1.0,1.0,1.0,7.0,3.0,1
3.0,4.0,3.0,21.0,20.0,2.0,2.0,2.0,1.0,4.0,4.0,1
4.0,5.0,4.0,21.0,10.0,3.0,2.0,2.0,1.0,4.0,2.0,1
4.0,4.0,4.0,24.0,40.0,2.0,1.0,4.0,1.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,1.0,2.0,1.0,3.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,2.0,1.0,2.0,4.0,4.0,4.0,1
4.0,5.0,4.0,34.0,10.0,2.0,2.0,1.0,1.0,4.0,4.0,1
5.0,4.0,5.0,31.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
4.0,4.0,4.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
4.0,5.0,4.0,34.0,40.0,4.0,1.0,4.0,1.0,4.0,4.0,1
5.0,5.0,5.0,31.0,10.0,2.0,1.0,1.0,1.0,4.0,2.0,1
4.0,4.0,4.0,21.0,40.0,2.0,2.0,4.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,1.0,1.0,1.0,2.0,4.0,2.0,1
4.0,4.0,4.0,21.0,30.0,3.0,2.0,3.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,3.0,1.0,1.0,2.0,4.0,4.0,1
5.0,5.0,5.0,31.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,2.0,1.0,1.0,2.0,4.0,2.0,1
5.0,5.0,4.0,31.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
3.0,4.0,3.0,31.0,10.0,2.0,2.0,1.0,1.0,4.0,3.0,1
4.0,5.0,4.0,34.0,40.0,3.0,1.0,4.0,1.0,4.0,4.0,1
3.0,4.0,3.0,21.0,30.0,2.0,2.0,2.0,1.0,4.0,3.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
3.0,4.0,3.0,21.0,10.0,2.0,2.0,1.0,2.0,4.0,3.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
3.0,5.0,3.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,2.0,1
5.0,4.0,5.0,31.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
3.0,3.0,3.0,24.0,40.0,3.0,2.0,4.0,1.0,4.0,5.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
4.0,4.0,4.0,24.0,10.0,3.0,2.0,2.0,1.0,6.0,4.0,1
4.0,4.0,4.0,21.0,40.0,3.0,2.0,4.0,1.0,4.0,4.0,1
3.0,4.0,3.0,24.0,40.0,4.0,2.0,4.0,1.0,4.0,5.0,1
5.0,4.0,5.0,21.0,10.0,1.0,1.0,1.0,3.0,4.0,4.0,1
3.0,4.0,3.0,24.0,10.0,2.0,1.0,1.0,1.0,4.0,3.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,1.0,4.0,4.0,1
3.0,4.0,3.0,24.0,10.0,3.0,3.0,1.0,1.0,4.0,4.0,1
5.0,5.0,5.0,21.0,10.0,2.0,1.0,2.0,4.0,4.0,4.0,1
3.0,3.0,3.0,24.0,40.0,4.0,2.0,4.0,1.0,4.0,5.0,1
3.0,4.0,3.0,21.0,10.0,2.0,2.0,1.0,1.0,4.0,4.0,1
3.0,5.0,3.0,34.0,10.0,3.0,1.0,2.0,1.0,4.0,2.0,1
5.0,4.0,5.0,31.0,10.0,1.0,1.0,1.0,2.0,4.0,4.0,1
3.0,4.0,3.0,21.0,10.0,3.0,2.0,1.0,2.0,4.0,3.0,1
5.0,4.0,5.0,21.0,40.0,2.0,1.0,4.0,2.0,4.0,4.0,1
5.0,5.0,4.0,21.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
4.0,4.0,4.0,24.0,40.0,3.0,1.0,4.0,1.0,4.0,4.0,1
5.0,4.0,5.0,21.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
4.0,4.0,4.0,21.0,40.0,2.0,1.0,4.0,1.0,6.0,4.0,1
5.0,4.0,5.0,31.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1
4.0,4.0,4.0,31.0,10.0,2.0,1.0,1.0,2.0,4.0,4.0,1
4.0,5.0,4.0,34.0,10.0,3.0,2.0,2.0,1.0,4.0,4.0,1
2.0,4.0,3.0,31.0,10.0,2.0,1.0,1.0,1.0,4.0,3.0,1
5.0,5.0,5.0,21.0,10.0,2.0,1.0,1.0,2.0,4.0,2.0,1
